m imin imax Ndata Ndup nedges Nj NpixJ nodes part1 part2 part3 ts td tj tb t
x 0 5 503657139 4532902713 2.64355e+11 384 884736 16 1440 1440 1440 17 164 0 222 6.79
x 0 5 503657139 4532902713 2.64355e+11 384 884736 16 1440 1440 1440 13 218 0 210 7.44
x 0 5 503657139 4532902713 2.64355e+11 384 884736 16 1440 1440 1440 53 176 0 188 7.04
x 0 5 503657139 4532902713 2.64355e+11 384 884736 16 1440 1440 1440 30 117 0 202 5.93
x 0 5 503657139 4532902713 2.64355e+11 384 884736 16 1440 1440 1440 20 163 0 219 6.80
x 0 5 503657139 4532902713 2.64355e+11 384 884736 32 2976 2976 2976 15 62 0 142 3.74
x 0 5 503657139 4532902713 2.64355e+11 384 884736 32 2976 2976 2976 20 52 0 153 3.85
x 0 5 503657139 4532902713 2.64355e+11 384 884736 32 2976 2976 2976 11 40 0 145 3.36
x 0 5 503657139 4532902713 2.64355e+11 384 884736 32 2976 2976 2976 25 57 0 152 3.97
x 0 5 503657139 4532902713 2.64355e+11 384 884736 32 2976 2976 2976 12 68 0 126 3.51
x 0 5 503657139 4532902713 2.64355e+11 384 884736 64 6048 6048 6048 16 30 0 101 2.53
x 0 5 503657139 4532902713 2.64355e+11 384 884736 64 6048 6048 6048 11 18 0 117 2.51
x 0 5 503657139 4532902713 2.64355e+11 384 884736 64 6048 6048 6048 10 18 0 109 2.37
x 0 5 503657139 4532902713 2.64355e+11 384 884736 64 6048 6048 6048 11 18 0 102 2.27
x  0 5 503657139 4532902713 2.64355e+11 384 884736 64 6048 6048 6048 11 19 0 111 2.44
